record_id,review,source,query,stage,title,year,decision,reason,notes
A01,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Noninvasive assessment of seasonal variations in cardiac structure and function in cyclists.,1983,include,Relevant to review scope,"High relevance, older paper, abstract not available in PubMed"
A02,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Cardiac structure and function in women basketball athletes: seasonal variation and comparisons with nonathletic controls.,1992,include,Relevant to review scope,Direct imaging evidence
A03,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Seasonal variation of right heart function in elite skiers-racers: an echocardiographic study.,2022,include,Relevant to review scope,Strong direct imaging paper
A04,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Seasonal variation of cardiac structure and function in the elite rugby football league athlete.,2023,include,Relevant to review scope,Direct imaging evidence
A05,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Health effects of seasonal variation in cardiovascular hemodynamics among workers in forest environments.,2019,include,Relevant to review scope,Indirect but relevant physiology
A06,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Seasonal variation in haemodynamics and blood pressure-regulating hormones.,2010,include,Relevant to review scope,Important mechanistic paper
A07,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Summer-winter differences in 24 h variability of heart rate.,2000,include,Relevant to review scope,Indirect autonomic evidence
A08,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Reproducibility and seasonal variation of ambulatory short-term heart rate variability in healthy subjects during a self-selected rest period and during sleep.,2009,include,Relevant to review scope,Indirect autonomic evidence
A09,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Heart rate variability in workers of various professions in contrasting seasons of the year.,2016,include,Relevant to review scope,Indirect autonomic evidence
A10,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Seasonal differences in melatonin concentrations and heart rates during sleep in obese subjects in Japan.,2013,include,Relevant to review scope,Indirect autonomic evidence
A11,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,The seasonal variation in hospitalizations due to chronic systolic heart failure correlates with blood sodium levels and cardiac function.,2013,include,Relevant to review scope,Indirect but clinically informative
A12,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Seasonal variation in heart failure hospitalization.,2011,include,Relevant to review scope,Indirect evidence
A13,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Seasonal variation in chronic heart failure hospitalizations and mortality in France.,1999,include,Relevant to review scope,Seminal heart failure seasonality paper
A14,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Investigating the seasonal variation of heart failure hospitalizations and in-hospital mortality risks in Japan using a nationwide database.,2024,include,Relevant to review scope,Contemporary large study
A15,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Clinical Impact of Seasonal and Environmental Factors in Patients with Acute Heart Failure.,2026,include,Relevant to review scope,Recent clinically relevant paper
A16,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,"Novel insights into the association between seasonal variations, blood pressure, and blood pressure variability in patients with new-onset essential hypertension.",2022,include,Relevant to review scope,Indirect but relevant hemodynamic evidence
A17,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Seasonal variation of novel arterial stiffness indexes in Japanese hypertensive patients.,2019,include,Relevant to review scope,Indirect vascular evidence
A18,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Seasonal Variation in Day-by-Day Home Blood Pressure Variability and Effect on Cardiovascular Disease Incidence.,2022,include,Relevant to review scope,Indirect risk-related evidence
A19,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Impact of environmental factors on heart failure decompensations.,2019,include,Relevant to review scope,Useful review for discussion
A20,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Circadian variation and seasonal distribution of implantable defibrillator detected new onset atrial fibrillation.,2020,include,Relevant to review scope,Indirect rhythm evidence
A21,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,"Circadian, weekly, and seasonal variations in cardiac mortality, blood pressure, and catecholamine excretion.",1991,include,Relevant to review scope,Classic chronobiology evidence
A22,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Increased hospitalizations for decompensated heart failure and acute myocardial infarction during mild winters: A seven-year experience in the public health system of the largest city in Latin America.,2018,include,Relevant to review scope,Useful for climate-context discussion
A23,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Clinical scenario 1 is associated with winter onset of acute heart failure.,2015,include,Relevant to review scope,Indirect but clinically nuanced
A24,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Prevalence and seasonal variation of precipitants of heart failure hospitalization and risk of readmission.,2020,include,Relevant to review scope,Indirect but useful for mechanisms
A25,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Seasonal Periodicity of Ischemic Heart Disease and Heart Failure.,2017,include,Relevant to review scope,Good background review
A26,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Daily serial hemodynamic data during pregnancy and seasonal variation: the BOSHI study.,2012,include,Relevant to review scope,Indirect cardiac output-related evidence
A27,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Impact of seasonality and air pollutants on carotid-femoral pulse wave velocity and wave reflection in hypertensive patients.,2017,include,Relevant to review scope,Indirect vascular evidence
A28,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Seasonal variations in home and ambulatory blood pressure in the PAMELA population. Pressione Arteriose Monitorate E Loro Associazioni.,1998,include,Relevant to review scope,Seminal background paper
A29,review_a,PubMed structured cardiac queries,cardiac seasonality query set,included_in_evidence_table,Circadian and Seasonal Pattern of Arrhythmic Events in Arrhythmogenic Cardiomyopathy Patients.,2023,include,Relevant to review scope,Indirect rhythm evidence
M01,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,The recognition and estimation of cyclic trends.,1961,include,Relevant to review scope,Historical foundation for seasonality testing
M02,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,A test for seasonality of events with a variable population at risk.,1975,include,Relevant to review scope,Useful if analyzing event counts from image-derived thresholds
M03,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Methods for current statistical analysis of excess pneumonia-influenza deaths.,1963,include,Relevant to review scope,Important historical reference for harmonic terms
M04,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Studying seasonality by using sine and cosine functions in regression analysis.,1999,include,Relevant to review scope,One of the most directly relevant references
M05,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Methods for cosinor-rhythmometry.,1979,include,Relevant to review scope,Standard chronobiology reference
M06,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,"Time-series analysis, cosinor analysis: a special case.",1990,include,Relevant to review scope,Useful pedagogic citation
M07,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Cosinor-based rhythmometry.,2014,include,Relevant to review scope,Highly relevant review
M08,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Statistical Analysis of Circular Data.,1993,include,Relevant to review scope,Useful for timing of peak effect
M09,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Directional Statistics.,2000,include,Relevant to review scope,Reference text for circular methods
M10,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Least-squares frequency analysis of unequally spaced data.,1976,include,Relevant to review scope,Good exploratory periodicity check
M11,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Studies in astronomical time series analysis. II. Statistical aspects of spectral analysis of unevenly spaced data.,1982,include,Relevant to review scope,Key reference for irregular sampling
M12,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Understanding the Lomb-Scargle Periodogram.,2018,include,Relevant to review scope,Very useful implementation guide
M13,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Spectral Analysis and Time Series.,1981,include,Relevant to review scope,Background theory
M14,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,A practical guide to wavelet analysis.,1998,include,Relevant to review scope,Good sensitivity-analysis option
M15,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,STL: A Seasonal-Trend Decomposition Procedure Based on Loess.,1990,include,Relevant to review scope,Useful for exploratory monthly summaries
M16,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Forecasting: Principles and Practice.,2021,include,Relevant to review scope,Helpful for Fourier-term modeling intuition
M17,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Forecasting time series with complex seasonal patterns using exponential smoothing.,2011,include,Relevant to review scope,Lower priority for your main analysis
M18,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Generalized Additive Models: An Introduction with R.,2017,include,Relevant to review scope,Top sensitivity-analysis framework
M19,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Generalized Additive Models.,1990,include,Relevant to review scope,Foundational GAM citation
M20,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,"Forecasting, Structural Time Series Models and the Kalman Filter.",1989,include,Relevant to review scope,Strong advanced alternative
M21,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Time Series Analysis by State Space Methods.,2012,include,Relevant to review scope,Good advanced reference
M22,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Time Series Analysis: Forecasting and Control.,2015,include,Relevant to review scope,Useful mostly for aggregated monthly summaries
M23,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,The Econometric Analysis of Seasonal Time Series.,2001,include,Relevant to review scope,Background theory for seasonal inference
M24,review_b,PubMed/methods structured queries + canonical references,methods query set,included_in_evidence_table,Classical event-seasonality tests.,1975,include,Relevant to review scope,Useful if deriving threshold-defined events
