citation_key,title,year,pmid,doi,source_type,topic_tags,harvest_bucket,source_origin,venue
ahmadpostmimet2025accuracy,Accuracy of Machine Learning Models for Early Prediction of Major Cardiovascular Events Post Myocardial Infarction: A Systematic Review and Meta-Analysis,2025,40630448,10.31083/rcm37224,systematic review and meta-analysis,ai_clinic;clinical;engineering;grant_reviewer;post_mi,LLM/AI-clinic,llm_cv_ai_clinic_candidates,
ahnmaarshcm2025multimodal,Multimodal AI to forecast arrhythmic death in hypertrophic cardiomyopathy.,2025,40603582,10.1038/s44161-025-00679-1,Multimodal deep learning prognostic study,ai_cmr,AI-CMR,ai_cmr_candidates,
alivecorcommer2026alivecor,AliveCor Kardia 12L,2026,,,commercial / official product webpage,ai_ecg,Commercial and real-world deployment signals,ai_ecg_candidates,
alymyocarditis2022automatic,CNN-KCL: Automatic myocarditis diagnosis using convolutional neural network combined with k-means clustering.,2022,35240789,10.3934/mbe.2022110,Small retrospective classifier study,ai_cmr,AI-CMR,ai_cmr_candidates,
antoniadeselec2025scalable,Scalable screening for structural heart disease: promises from artificial intelligence-electrocardiogram tools,2025,40703114,10.1093/ehjdh/ztaf048,commentary / translational review,ai_ecg,"Reviews, methods, and reporting quality",ai_ecg_candidates,
anumanacommerc2026anumana,Anumana ECG-AI,2026,,,commercial / official product webpage,ai_ecg,Commercial and real-world deployment signals,ai_ecg_candidates,
apple2018apple,Apple Watch Series 4 ECG App User Manual / Marketing Authorization (FDA De Novo DEN180044),2018,,,regulatory authorization,atrial_fibrillation;regulation;wearable,curated_extension,curated_extensions,U.S. Food and Drug Administration
applications2025applications,The applications of ChatGPT and other large language models in anesthesiology and critical care: a systematic review,2025,40524117,,publication,engineering;grant_reviewer;implementation;llm_procedures;policy_expert,evidence_json,evidence.json,
arendselectroc2026signal,Signal or noise? Evaluating commonly used attribution methods for explaining deep neural networks in electrocardiogram classification,2026,41836589,10.1093/ehjdh/ztag038,retrospective cohort/model development,ai_ecg,"Implementation, deployment, and enabling methods",ai_ecg_candidates,
atrial2026atrial,Artificial intelligence for atrial fibrillation prediction while in sinus rhythm: a narrative review,2026,41640418,,publication,ai_ecg;atrial_fibrillation;clinical;engineering,evidence_json,evidence.json,
attia2021external,External Validation of a Deep Learning Electrocardiogram Algorithm to Detect Ventricular Dysfunction,2021,33999673,10.1016/j.ijcard.2021.05.020,external validation,ai_ecg;ejection_fraction;external_validation,curated_extension,curated_extensions,International Journal of Cardiology
attiaecg2019enabled,An artificial intelligence-enabled ECG algorithm for the identification of patients with atrial fibrillation during sinus rhythm: a retrospective analysis of outcome prediction,2019,31378392,10.1016/s0140-6736(19)31721-0,validation study,ai_clinic;ai_ecg;atrial_fibrillation;clinical;engineering,Atrial fibrillation detection and prediction,ai_ecg_candidates,
attiaelectroca2019screening,Screening for cardiac contractile dysfunction using an artificial intelligence-enabled electrocardiogram,2019,30617318,10.1038/s41591-018-0240-2,retrospective cohort/model development,ai_clinic;ai_ecg;clinical;engineering;grant_reviewer;implementation,LV systolic dysfunction and heart failure,ai_ecg_candidates,
avendilvncdldi2022left,Left ventricular non-compaction cardiomyopathy automatic diagnosis using a deep learning approach.,2022,34861618,10.1016/j.cmpb.2021.106548,Retrospective diagnostic study,ai_cmr,AI-CMR,ai_cmr_candidates,
avulaelectroca2023clinical,"Clinical Applications, Methodology, and Scientific Reporting of Electrocardiogram Deep-Learning Models: A Systematic Review",2023,38288263,10.1016/j.jacadv.2023.100686,systematic review,ai_ecg;engineering;grant_reviewer;implementation;policy_expert,"Reviews, methods, and reporting quality",ai_ecg_candidates,
ayers2023comparing,Comparing Physician and Artificial Intelligence Chatbot Responses to Patient Questions Posted to a Public Social Media Forum,2023,37115527,10.1001/jamainternmed.2023.1838,comparative evaluation,llm;patient_communication,curated_extension,curated_extensions,JAMA Internal Medicine
baburgulerelec2026evaluation,Evaluation of artificial intelligence-based electrocardiogram analysis tools in patients with hypertrophic cardiomyopathy,2026,41768038,10.1093/ehjdh/ztag026,implementation study,ai_ecg,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
bai2018automated,Automated cardiovascular magnetic resonance image analysis with fully convolutional networks,2018,30153967,10.1186/s12968-018-0471-x,method development with cohort validation,ai_cmr;segmentation;seminal;uk_biobank,curated_extension,curated_extensions,Journal of Cardiovascular Magnetic Resonance
baimlcmrreview2019magnetic,Machine learning in cardiovascular magnetic resonance: basic concepts and applications.,2019,31590664,10.1186/s12968-019-0575-y,Narrative review,ai_cmr,AI-CMR,ai_cmr_candidates,
bawdencardiaca2025patients,"Patients', clinicians' and developers' perspectives and experiences of artificial intelligence in cardiac healthcare: A qualitative study",2025,40534891,,qualitative implementation study,ai_clinic;engineering;implementation;patient;policy_expert,LLM/AI-clinic,llm_cv_ai_clinic_candidates,
bayraktarenhan2026enhanced,Artificial intelligence-enhanced electrocardiography for identifying subclinical left ventricular dysfunction in hypertensive individuals: a comprehensive clinical evaluation,2026,41852610,10.3389/fcvm.2026.1761335,retrospective cohort/model development,ai_ecg,LV systolic dysfunction and heart failure,ai_ecg_candidates,
belloriniaicar2025role,The Role of Artificial Intelligence in Cardiac Amyloidosis: A Focus on Diagnosis and Clinical Application.,2025,40558656,10.3390/jcdd12060221,Focused review,ai_cmr,AI-CMR,ai_cmr_candidates,
belloriniaicmr2025magnetic,Artificial intelligence in cardiovascular magnetic resonance imaging.,2025,40187819,10.1016/j.rxeng.2025.03.001,Narrative review,ai_cmr,AI-CMR,ai_cmr_candidates,
bellorinirolea2024role,The role of artificial intelligence in cardiovascular magnetic resonance imaging.,2024,38925255,10.1016/j.pcad.2024.06.004,Narrative review,ai_cmr,AI-CMR,ai_cmr_candidates,
bermejodensese2023automated,Automated segmentation of long and short axis DENSE cardiovascular magnetic resonance for myocardial strain analysis using spatio-temporal convolutional neural networks.,2023,36991474,10.1186/s12968-023-00927-y,Method development with external validation,ai_cmr,AI-CMR,ai_cmr_candidates,
better2025better,Better understanding: can a large language model safely improve readability of patient information leaflets in interventional radiology?,2025,41052822,,publication,llm_procedures;patient;policy_expert,evidence_json,evidence.json,
british2026grand,BHF Cardiovascular Grand Challenge: AI-powered transformation in cardiovascular health,2026,,,funding call,funding;policy;uk,curated_extension,curated_extensions,British Heart Foundation
bumgarner2018smartwatch,Smartwatch Performance for the Detection and Quantification of Atrial Fibrillation,2018,29903408,10.1161/circulationaha.118.034438,prospective diagnostic accuracy,ai_ecg;atrial_fibrillation;wearable,curated_extension,curated_extensions,Circulation
bustinaicmrcom2022applications,The Applications of Artificial Intelligence in Cardiovascular Magnetic Resonance-A Comprehensive Review.,2022,35628992,10.3390/jcm11102866,Comprehensive review,ai_cmr,AI-CMR,ai_cmr_candidates,
cardiology2025cardiology,Artificial Intelligence in Cardiology: General Perspectives and Focus on Interventional Cardiology,2025,40151850,,publication,engineering;implementation;policy_expert;programme_design,evidence_json,evidence.json,
care2024care,Cardiovascular care with digital twin technology in the era of generative artificial intelligence,2024,39322420,,publication,engineering;grant_reviewer;policy_expert;programme_design,evidence_json,evidence.json,
catheter2018catheter,Catheter Ablation for Atrial Fibrillation with Heart Failure,2018,30067924,,publication,atrial_fibrillation;clinical;grant_reviewer,evidence_json,evidence.json,
changelectroca2026identifying,Deep learning model for identifying significant tricuspid regurgitation using standard 12-lead electrocardiogram,2026,41437957,10.1016/j.ijcrp.2025.200557,external validation study,ai_ecg,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
char2018implementing,Implementing machine learning in health care - addressing ethical challenges,2018,29539284,10.1056/nejmp1714229,perspective,ai_governance;ethics;policy,curated_extension,curated_extensions,New England Journal of Medicine
chatgpt2024chatgpt,ChatGPT-4 Knows Its A B C D E but Cannot Cite Its Source,2024,39238880,,publication,grant_reviewer;implementation;llm_procedures;policy_expert,evidence_json,evidence.json,
chatgpt2026chatgpt,ChatGPT as a Tool for Perioperative Safety: Evaluating Drug Interaction Detection in Anesthetic Regimens,2026,41952934,,publication,clinical;engineering;llm_procedures,evidence_json,evidence.json,
chatterjeeatri2026atrial,"Artificial intelligence in atrial fibrillation - Timely diagnosis, risk assessment and personalized management",2026,41611206,10.1016/j.ipej.2026.01.011,review,ai_ecg,Atrial fibrillation detection and prediction,ai_ecg_candidates,
chenbayesiante2023automatic,Automatic uncertainty-based quality controlled T1 mapping and ECV analysis from native and post-contrast cardiac T1 mapping images using Bayesian vision transformer.,2023,36827870,10.1016/j.media.2023.102773,Method development and validation study,ai_cmr,AI-CMR,ai_cmr_candidates,
choiecg2026real,Real-Time Integration of an AI-Based ECG Interpretation System in the Emergency Department: A Pragmatic Alternating-Day Study of Diagnostic Performance and Clinical Process Metrics,2026,41975970,10.3390/healthcare14070968,pragmatic implementation study,ai_ecg,"Implementation, deployment, and enabling methods",ai_ecg_candidates,
christensen2024multi,Multi-Modal Foundation Model for Echocardiography (EchoCLIP),2024,,10.48550/arxiv.2404.12489,"preprint, foundation model",ai_echo;foundation_models;multimodal,curated_extension,curated_extensions,arXiv
cipollonecardi2025electrophysiology,Artificial Intelligence in Cardiac Electrophysiology: A Comprehensive Review,2025,41295237,10.3390/jpm15110532,review,ai_ecg,"Reviews, methods, and reporting quality",ai_ecg_candidates,
clinical2023clinical,"Clinical Screening for Dilated Cardiomyopathy in At-Risk First-Degree Relatives: Who, When, and How?",2023,37225359,,publication,cardiomyopathy;clinical;policy_expert,evidence_json,evidence.json,
collins2021protocol,Protocol for development of a reporting guideline (TRIPOD-AI) and risk of bias tool (PROBAST-AI) for diagnostic and prognostic prediction model studies based on artificial intelligence,2021,34244270,10.1136/bmjopen-2020-048008,reporting guideline protocol,policy;reporting_standards;risk_of_bias,curated_extension,curated_extensions,BMJ Open
cortesllmcardi2026cardiology,Large Language Models in Cardiology: Systematic Review,2026,41989882,10.2196/76734,systematic review,ai_clinic;clinical;engineering;grant_reviewer;implementation;llm_procedures,LLM/AI-clinic,llm_cv_ai_clinic_candidates,
croonelectroca2026enhanced,Artificial Intelligence-Enhanced Electrocardiogram Models for Detection of Left Ventricular Dysfunction: A Comparison Study,2026,41564731,10.1016/j.jacadv.2025.102572,model comparison study,ai_ecg,LV systolic dysfunction and heart failure,ai_ecg_candidates,
cruz2020guidelines,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension,2020,32908315,10.1038/s41591-020-1037-7,reporting guideline,ai_governance;policy;reporting_standards,curated_extension,curated_extensions,Nature Medicine
cruzaicmrrecon2020compressed,From Compressed-Sensing to Artificial Intelligence-Based Cardiac MRI Reconstruction.,2020,32158767,10.3389/fcvm.2020.00017,Technical review,ai_cmr,AI-CMR,ai_cmr_candidates,
curth2024causal,Causal Machine Learning: A Practical Overview for Clinical Researchers,2024,,10.1056/aira2300292,tutorial/review,causal_inference;decision_support;methodology,curated_extension,curated_extensions,NEJM AI
dausdlcardiaca2020diagnose,Deep learning to diagnose cardiac amyloidosis from cardiovascular magnetic resonance.,2020,33287829,10.1186/s12968-020-00690-4,Retrospective development and test study,ai_cmr,AI-CMR,ai_cmr_candidates,
development2026development,Development and validation of a machine learning model for prediction of 1-year mortality following ST-elevation myocardial infarction: a retrospective cohort study,2026,41688111,,publication,clinical;engineering;post_mi,evidence_json,evidence.json,
